full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Aaron Anthony Connolly,Forward,0.0,0.0,14.0,1.0,18.0,0.0,0.0,2,-1.1158523258597468,17,1196000,,
Adam Armstrong,Forward,6.45,14.0,227.0,31.0,126.0,1414.0,2.0,0,-0.18371456397188085,35,2490000,,
Adam Uche Idah,Forward,10.0,4.0,89.0,10.0,103.0,0.0,0.0,3,-0.5215796668479644,23,260000,,
Adama Traore Diarra,Forward,8.33,5.0,232.0,12.0,210.0,0.0,0.0,3,-0.40958526452372845,16,2236000,,
Ademola Lookman,Forward,37.5,12.0,397.0,16.0,232.0,728.0,0.0,0,1.0616018335965591,1,1076400,,
Alejandro Garnacho Ferreyra,Forward,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2,-1.1347706139655485,21,364000,,
Alex Iwobi,Forward,13.33,6.0,555.0,15.0,207.0,2037.0,1.0,4,0.19723824381653352,2,2600000,,
Alexandre Lacazette,Forward,14.29,15.0,339.0,35.0,232.0,0.0,5.0,0,0.2625985372859642,23,9466673,,
Allan Saint-Maximin,Forward,10.87,26.0,514.0,46.0,464.0,469.0,4.0,1,0.5870988210564576,15,2000000,,
Andriy Yarmolenko,Forward,10.0,5.0,78.0,10.0,37.0,299.0,0.0,3,-0.5213344806107446,22,5980000,,
Anthony Elanga,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,32,470000,,
Anthony Gordon,Forward,14.29,18.0,455.0,28.0,353.0,571.0,1.0,0,0.3867096241963452,18,520000,,
Anthony Martial,Forward,20.0,3.0,67.0,5.0,24.0,0.0,0.0,3,-0.2076650099038334,9,13000000,,
Anwar El Ghazi,Forward,14.29,3.0,86.0,7.0,65.0,197.0,1.0,3,-0.37270045547695146,14,1610000,,
Armando Broja,Forward,16.67,21.0,243.0,36.0,444.0,990.0,0.0,0,0.42970600602272735,12,2080000,,
Ashley Barnes,Forward,7.14,6.0,121.0,14.0,195.0,200.0,0.0,3,-0.5176256339065032,21,2080000,,
Ashley Fletcher,Forward,0.0,1.0,3.0,2.0,11.0,0.0,0.0,2,-1.1061653749645406,14,620000,,
Ayoze Perez,Forward,25.0,6.0,120.0,8.0,75.0,222.0,1.0,3,0.13931872455902536,5,2340000,,
Bertrand Traore,Forward,0.0,1.0,60.0,4.0,38.0,0.0,0.0,2,-1.0412162802940386,8,4056000,,
Bryan Gil Salvatierra,Forward,0.0,1.0,47.0,1.0,18.0,0.0,0.0,2,-1.0723181126834334,11,2500000,,
Bryan Mbeumo,Forward,0.0,0.0,0.0,0.0,0.0,729.0,5.0,2,-1.0324375912004036,7,4160000,,
Callum Wilson,Forward,25.81,15.0,103.0,31.0,186.0,347.0,0.0,0,0.44005736627141145,11,2400000,,
Cameron Archer,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,31,104000,,
Cenk Tosun,Forward,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,-1.1367432409111788,24,3120000,,
Che Adams,Forward,17.95,24.0,303.0,39.0,313.0,0.0,1.0,0,0.5154860536109149,9,1560000,,
Chris Wood,Forward,12.5,19.0,346.0,40.0,492.0,2706.0,0.0,4,0.43377413611115445,1,3466667,,
Christian Benteke,Forward,12.5,13.0,192.0,32.0,206.0,379.0,1.0,0,-0.021963723533385604,33,6240000,,
Christos Tzolis,Forward,0.0,2.0,72.0,3.0,38.0,0.0,0.0,2,-1.019548933734688,6,1496040,,
Cristiano Ronaldo,Forward,22.5,43.0,721.0,80.0,217.0,307.0,2.0,1,1.5381834974009836,2,26800000,,
