full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Aaron Lennon,Midfielder,25.0,4.0,245.0,8.0,166.0,774,0,3,0.21770409056941004,12
Abdoulaye Doucouré,Midfielder,9.52,11.0,860.0,21.0,301.0,423,2,5,0.37827936510070514,26
Adam David Lallana,Midfielder,0.0,4.0,834.0,14.0,152.0,391,1,0,-0.2415454514919666,23
Adam Forshaw,Midfielder,0.0,4.0,691.0,10.0,179.0,306,1,0,-0.3130406955874668,33
Ainsley Maitland-Niles,Midfielder,0.0,0.0,104.0,1.0,36.0,0,0,1,-0.8428532082275902,23
Albert-Mboyo Sambi Lokonga,Midfielder,0.0,8.0,723.0,16.0,98.0,226,0,0,-0.25784034019510294,25
Alex Král,Midfielder,0.0,0.0,0.0,0.0,2.0,0,0,1,-0.9049274062627001,46
Alex Oxlade-Chamberlain,Midfielder,14.29,3.0,311.0,14.0,83.0,0,0,1,-0.1920753406205707,1
Alexis Mac Allister,Midfielder,15.62,11.0,840.0,32.0,284.0,529,1,5,0.5463992987202084,20
Allan,Midfielder,0.0,3.0,767.0,4.0,276.0,243,1,0,-0.2949684836352696,30
André Filipe Tavares Gomes,Midfielder,0.0,4.0,213.0,7.0,122.0,206,0,1,-0.6040359725601442,4
Andros Townsend,Midfielder,18.75,10.0,307.0,16.0,194.0,486,0,0,0.23830322080741861,4
Ashley Westwood,Midfielder,0.0,2.0,835.0,6.0,147.0,327,1,0,-0.33537415051713537,34
Bernardo Silva,Midfielder,23.53,20.0,1688.0,34.0,290.0,477,2,2,1.422752986890717,6
Billy Gilmour,Midfielder,0.0,3.0,946.0,9.0,193.0,929,0,0,-0.2087318366446717,20
Boubakary Soumaré,Midfielder,0.0,2.0,442.0,6.0,136.0,0,1,0,-0.5391652266645206,46
Bruno Guimarães Rodriguez Moura,Midfielder,29.41,12.0,435.0,17.0,191.0,258,0,3,0.6313855204287878,6
Bruno Miguel Borges Fernandes,Midfielder,18.18,29.0,1488.0,55.0,340.0,312,5,2,1.651034670879199,2
Bukayo Saka,Midfielder,18.97,31.0,844.0,58.0,371.0,499,3,2,1.4175675621929142,7
Callum Hudson-Odoi,Midfielder,8.33,7.0,302.0,12.0,113.0,966,1,0,-0.10029814359533734,13
Carney Chukwuemeka,Midfielder,0.0,0.0,0.0,0.0,0.0,0,1,1,-0.8606388775159679,27
Cheikhou Kouyaté,Midfielder,0.0,0.0,655.0,6.0,228.0,659,0,0,-0.43696328547628366,37
Chem Campbell,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.9058250044366012,53
Christian Eriksen,Midfielder,6.67,9.0,437.0,15.0,65.0,938,2,0,-0.00564215199485691,11
Christian Nørgaard,Midfielder,15.0,9.0,1329.0,20.0,414.0,382,2,5,0.7183134760921448,12
Christian Pulisic,Midfielder,27.27,11.0,350.0,22.0,190.0,643,1,5,0.6129518574271928,17
Cole Palmer,Midfielder,0.0,1.0,46.0,2.0,13.0,0,0,1,-0.8459854501918769,24
Connor Roberts,Midfielder,16.67,4.0,468.0,6.0,109.0,846,1,0,0.0894449157770084,8
Conor Gallagher,Midfielder,19.51,22.0,852.0,41.0,427.0,285,2,2,1.0819104703329498,11
Curtis Jones,Midfielder,7.14,7.0,531.0,14.0,115.0,0,0,0,-0.18336803416606573,17
Dale Stephens,Midfielder,0.0,0.0,46.0,1.0,16.0,122,0,1,-0.8623655516293999,28
Dan Gosling,Midfielder,50.0,1.0,54.0,2.0,25.0,0,0,3,0.6071823517068594,7
Daniel Castelo Podence,Midfielder,9.52,15.0,427.0,21.0,182.0,742,1,0,0.24545422548003243,3
Daniel Chesters,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.9058250044366012,51
Declan Rice,Midfielder,5.26,8.0,1970.0,19.0,312.0,397,3,5,0.672203773139195,14
Dejan Kulusevski,Midfielder,33.33,10.0,393.0,15.0,143.0,422,3,3,0.7969656518361619,4
Dele Alli,Midfielder,20.0,3.0,279.0,5.0,176.0,247,0,3,-0.0051134487993940575,17
Dimitris Giannoulis,Midfielder,0.0,1.0,422.0,1.0,157.0,585,1,0,-0.5196046614549011,45
Donny van de Beek,Midfielder,50.0,2.0,231.0,4.0,79.0,550,0,3,0.8004312242693273,3
Douglas Luiz,Midfielder,13.33,8.0,1246.0,15.0,304.0,389,1,5,0.4957039260339158,23
Eberechi Eze,Midfielder,33.33,1.0,224.0,3.0,85.0,602,1,3,0.33836508060077647,9
Edo Kayembe,Midfielder,0.0,0.0,371.0,3.0,97.0,0,0,1,-0.6974168389086194,11
Ellis Simms,Midfielder,0.0,0.0,7.0,0.0,7.0,0,0,1,-0.8997849876414756,42
Emile Smith Rowe,Midfielder,32.26,23.0,669.0,31.0,159.0,1921,0,4,1.33450538442598,1
Emiliano Buendía,Midfielder,12.9,13.0,693.0,31.0,287.0,1902,3,4,0.7015205920166416,3
Enock Mwepu,Midfielder,12.5,8.0,287.0,16.0,146.0,499,3,0,0.11000981904638603,6
Fabian Delph,Midfielder,0.0,0.0,258.0,0.0,61.0,333,0,1,-0.734829226637398,12
Fabinho,Midfielder,31.25,10.0,1342.0,16.0,255.0,331,1,5,1.0834109525714513,6
Fernando Luiz Rosa,Midfielder,13.33,4.0,737.0,15.0,116.0,958,0,0,0.108441039447377,7
Folarin Balogun,Midfielder,0.0,0.0,4.0,3.0,8.0,0,0,1,-0.8893201447093813,33
Frederico Rodrigues Santos,Midfielder,36.36,9.0,1125.0,11.0,270.0,407,2,5,1.1552829872197676,3
Giovani Lo Celso,Midfielder,0.0,1.0,125.0,8.0,43.0,0,0,1,-0.7772942512002011,17
Granit Xhaka,Midfielder,6.25,5.0,1339.0,16.0,207.0,194,1,5,0.18599062528755728,35
Hakim Ziyech,Midfielder,11.11,19.0,513.0,36.0,213.0,439,3,2,0.5639084281484998,14
Hamza Choudhury,Midfielder,0.0,0.0,123.0,1.0,37.0,286,0,1,-0.8029386097091262,20
Hannibal Mejbri,Midfielder,0.0,1.0,17.0,1.0,9.0,34,0,1,-0.8597846585175417,26
