full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Aaron Cresswell,Defender,18.18,4.0,1410.0,11.0,141.0,909,0,0,0.4843591477232893,2
Aaron Wan-Bissaka,Defender,0.0,1.0,759.0,2.0,208.0,897,0,0,-0.3315196517982953,47
Adam Masina,Defender,0.0,0.0,294.0,4.0,116.0,0,1,1,-0.6183769565554889,16
Adam Webster,Defender,28.57,3.0,935.0,7.0,136.0,286,0,0,0.40992623343340856,5
Alex Nicolao Telles,Defender,0.0,3.0,747.0,7.0,180.0,1659,1,5,-0.08644502388887303,11
Andreas Christensen,Defender,0.0,0.0,1189.0,5.0,126.0,748,0,0,-0.27902819920711913,41
Andrew Omobamidele,Defender,100.0,1.0,191.0,1.0,37.0,381,0,4,1.5467977817473737,4
Andrew Robertson,Defender,21.43,8.0,1640.0,14.0,156.0,363,7,2,1.1848057947161452,3
Angelo Ogbonna,Defender,100.0,1.0,404.0,1.0,60.0,922,0,4,1.6831819958519814,1
Antonio Rudiger,Defender,8.33,13.0,2195.0,36.0,203.0,337,0,3,1.1732641031712276,3
Arthur Masuaku,Defender,33.33,1.0,254.0,3.0,100.0,645,0,4,0.15929483644299944,14
Ashley Young,Defender,0.0,3.0,414.0,7.0,112.0,620,1,0,-0.33509776937911767,48
Axel Tuanzebe,Defender,0.0,1.0,207.0,1.0,39.0,506,0,1,-0.6554431462798163,18
Aymeric Laporte,Defender,13.33,8.0,2761.0,30.0,160.0,405,0,3,1.1456842628124655,4
Ben Chilwell,Defender,33.33,6.0,224.0,9.0,62.0,0,1,4,0.43432239234322784,9
Ben Davies,Defender,8.33,7.0,1341.0,12.0,237.0,423,0,3,0.4217150654913309,20
Ben Gibson,Defender,0.0,4.0,1111.0,7.0,149.0,499,0,0,-0.08122426244144668,33
Ben Godfrey,Defender,0.0,7.0,540.0,14.0,186.0,339,0,0,-0.06149297568804128,31
Ben Mee,Defender,18.75,4.0,530.0,16.0,163.0,613,0,0,0.2098999605662747,14
Ben White,Defender,0.0,4.0,1531.0,8.0,237.0,960,0,0,0.16015067822019727,18
Benjamin Johnson,Defender,20.0,1.0,398.0,5.0,108.0,1396,0,0,5.453065223328876e-05,27
Benjamin Mendy,Defender,0.0,0.0,71.0,0.0,14.0,0,0,1,-0.8251693302426344,44
Brandon Williams,Defender,0.0,1.0,763.0,4.0,237.0,265,0,0,-0.3612847172262906,50
Caglar Soyuncu,Defender,14.29,1.0,1625.0,7.0,251.0,500,0,0,0.3006396489047061,11
Calum Chambers,Defender,33.33,1.0,462.0,3.0,98.0,1000,0,4,0.2630082551657003,11
Cedric Soares,Defender,16.67,1.0,730.0,6.0,130.0,495,0,0,-0.026184600255556145,28
Cesar Azpilicueta,Defender,12.5,4.0,1371.0,8.0,200.0,692,0,0,0.3376013262165787,7
Charlie Cresswell,Defender,0.0,0.0,0.0,0.0,0.0,137,0,1,-0.8442802177339718,51
Charlie Goode,Defender,0.0,0.0,161.0,2.0,50.0,149,0,1,-0.7483251177710393,31
Charlie Taylor,Defender,0.0,0.0,697.0,6.0,279.0,910,1,0,-0.29396919310436975,44
