Player,Annual salary
Mark Travers,1040000
Darren Randolph,0
Lloyd Kelly,1560000
Chris Mepham,1820000
Adam Smith,1820000
Jack Stacey,1560000
Jordan Zemura,4160000
Ryan Fredericks,1820000
Marcos Senesi,2600000
Jack Stephens,2340000
Lewis Cook,2080000
David Brooks,2860000
Jefferson Lerma,2860000
Ryan Christie,1560000
Junior Stanislas,1820000
Philip Billing,2080000
Joe Rothwell,416000
Marcus Tavernier,1040000
Dominic Solanke,2600000
Kieffer Moore,780000
Jaidon Anthony,520000
Dango Ouattara,0
Antoine Semenyo,0
Aaron Ramsdale,3220000
Matt Turner,1820000
Kieran Tierney,5720000
Ben White,6240000
Rob Holding,2080000
Takehiro Tomiyasu,2910000
William Saliba,2080000
Jakub Kiwior,1508000
Thomas Partey,10400000
Bukayo Saka,3640000
Emile Smith Rowe,2080000
Mohamed Elneny,2600000
Granit Xhaka,6240000
Oleksandr Zinchenko,7800000
Gabriel Martinelli,4680000
Gabriel Jesus,13780000
Reiss Nelson,780000
Leandro Trossard,2340000
Leandro Trossard,2340000
Emiliano Martinez,6240000
Robin Olsen,4160000
Matty Cash,4160000
Ezri Konsa,1560000
Tyrone Mings,4160000
Calum Chambers,2600000
Lucas Digne,8500000
Diego Carlos,5200000
Douglas Luiz,3900000
John McGinn,2600000
Jacob Ramsey,3640000
Boubacar Kamara,7800000
Philippe Coutinho,6500000
Leander Dendoncker,4680000
Ollie Watkins,3900000
Leon Bailey,5200000
David Raya,1300000
Thomas Strakosha,1300000
Rico Henry,1820000
Ethan Pinnock,780000
Pontus Jansson,1300000
Kristoffer Ajer,1820000
Mads Roerslev,520000
Aaron Hickey,1560000
Ben Mee,2860000
Mathias Jensen,1040000
Josh Dasilva,1040000
Yoane Wissa,1040000
Frank Onyeka,1300000
Bryan Mbeumo,2340000
Shandon Baptiste,780000
Vitaly Janelt,1560000
Mikkel Damsgaard,1560000
Kevin Schade,250000
Saman Ghoddos,780000
Ivan Toney,1092000
Keane Lewis-Potter,1820000
Jason Steele,1040000
Tariq Lamptey,1820000
Adam Webster,2860000
Lewis Dunk,3900000
Joel Veltman,2000000
Jan Paul van Hecke,260000
Alexis Mac Allister,2600000
Pascal Gross,3120000
Adam Lallana,4700000
Jakub Moder,520000
Solly March,2080000
Moises Caicedo,780000
Kaoru Mitoma,520000
Billy Gilmour,1040000
Facundo Buonanotte,0
