Freddie Woodman,9000000
Mark Travers,2500000
Örjan Nyland,700000
Will Dennis,100000
Lloyd Kelly,12000000
Nathaniel Phillips,8000000
Chris Mepham,4000000
Steve Cook,2800000
James Hill,1000000
Gary Cahill,400000
Zeno Ibsen Rossi,250000
Jordan Zemura,3000000
Leif Davis,800000
Ethan Laird,5000000
Jack Stacey,3000000
Adam Smith,1500000
Brennan Camp,100000
Tarik Gidaree,
Jefferson Lerma,15000000
Philip Billing,18000000
Lewis Cook,9000000
Ben Pearson,2500000
Gavin Kilkenny,1500000
Kyle Taylor,100000
Nathan Moriah-Welsh,
Todd Cantwell,18000000
Robbie Brady,1000000
Ryan Christie,9000000
Emiliano Marcondes,2000000
Jaidon Anthony,6000000
Siriki Dembélé,2800000
Morgan Rogers,1800000
Junior Stanislas,700000
David Brooks,16000000
Jamal Lowe,1800000
Ryan Glover,
Dominic Solanke,16000000
Kieffer Moore,5000000
Christian Saydee,50000
Emiliano Martínez,28000000
Robin Olsen,2000000
Jed Steer,600000
Viljami Sinisalo,200000
Filip Marschall,
Tyrone Mings,30000000
Ezri Konsa,22000000
Calum Chambers,10000000
Axel Tuanzebe,7000000
Kortney Hause,4000000
Sil Swinkels,150000
Josh Feeney,
Lucas Digne,25000000
Matt Targett,17000000
Ben Chrisene,150000
Matty Cash,25000000
Frédéric Guilbert,7000000
Ashley Young,1000000
Kaine Kesler-Hayden,300000
Marvelous Nakamba,7000000
Lamare Bogarde,200000
Hayden Lindley,150000
Douglas Luiz,38000000
John McGinn,32000000
Jacob Ramsey,25000000
Morgan Sanson,10000000
Carney Chukwuemeka,6000000
Tim Iroegbunam,2500000
Conor Hourihane,1800000
Aaron Ramsey,1000000
Tommi O'Reilly,
Leon Bailey,25000000
Philippe Coutinho,20000000
Mahmoud Trezeguet,10000000
Jaden Philogene,3000000
Emiliano Buendía,32000000
Bertrand Traoré,16000000
Anwar El Ghazi,9000000
Ollie Watkins,35000000
Danny Ings,20000000
Wesley Moraes,6000000
Cameron Archer,6000000
Keinan Davis,2500000
Caleb Chukwuemeka,200000
Robert Sánchez,16000000
Kjell Scherpen,2200000
Christian Walton,800000
Jason Steele,600000
Tom McGill,
Lewis Dunk,20000000
Adam Webster,17000000
Dan Burn,12000000
Jan Paul van Hecke,5000000
Shane Duffy,5000000
Matt Clarke,3000000
Haydon Roberts,500000
Antef Tsoungui,300000
Ed Turns,200000
Odel Offiah,200000
Marc Cucurella,28000000
Michal Karbownik,2500000
James Furlong,
Tariq Lamptey,18000000
Joël Veltman,10000000
Moisés Caicedo,6000000
Tudor Baluta,1800000
Yves Bissouma,35000000
Enock Mwepu,18000000
Alexis Mac Allister,16000000
Jakub Moder,12000000
Pascal Groß,6000000
Steven Alzate,5000000
Taylor Richards,400000
Marc Leonard,300000
Jeremy Sarmiento,3000000
Adam Lallana,2000000
Andy Moran,300000
Leandro Trossard,20000000
Solly March,9000000
Abdallah Sima,8000000
Neal Maupay,18000000
Aaron Connolly,6000000
Danny Welbeck,4000000
Andi Zeqiri,2300000
Jürgen Locadia,2000000
Florin Andone,1000000
Evan Ferguson,600000
Jack Butland,1800000
Vicente Guaita,1500000
Remi Matthews,300000
Marc Guéhi,32000000
Joachim Andersen,25000000
Nathan Ferguson,2500000
James Tomkins,1500000
Jaroslaw Jach,500000
Tyrick Mitchell,25000000
Reece Hannam,200000
Tayo Adaramola,
Joel Ward,2000000
Nathaniel Clyne,2000000
Martin Kelly,1000000
Jairo Riedewald,5000000
Luka Milivojevic,4000000
Cheikhou Kouyaté,4000000
Conor Gallagher,25000000
Will Hughes,6000000
James McArthur,1200000
Jack Wells-Morrison,
Jeffrey Schlupp,8000000
Eberechi Eze,22000000
Wilfried Zaha,38000000
Michael Olise,22000000
Jesurun Rak-Sakyi,500000
Scott Banks,250000
Odsonne Edouard,17000000
Jean-Philippe Mateta,10000000
Jordan Ayew,6000000
Christian Benteke,6000000
Luke Plange,800000
Robert Street,
Aaron Ramsdale,28000000
Bernd Leno,9000000
Arthur Okonkwo,1500000
Karl Hein,800000
Gabriel Magalhães,38000000
Rob Holding,10000000
Calum Chambers,10000000
Pablo Marí,5000000
Alex Kirk,
Mazeed Ogungbo,
