Player
João Cancelo,
Jeff Hendrick,
Jorginho,
Bruno Miguel Borges Fernandes,
Rodri,
Mathias Jattah-Njie Jørgensen,
Andrew Omobamidele,
Sadio Mané,
Cristiano Ronaldo,
Virgil van Dijk,
Philip Foden,
Jarrod Bowen,
Gabriel dos Santos Magalhães,
Antonio Rüdiger,
Frederico Rodrigues Santos,
İlkay Gündoğan,
Fabinho,
Ademola Lookman,
Pierre-Emile Højbjerg,
Takumi Minamino,
Raphael Dias Belloli,
Emmanuel Bonaventure Dennis,
Rúben Diogo Da Silva Neves,
Harvey Lewis Barnes,
Teemu Pukki,
Marcos Alonso,
Pablo Fornals Malla,
Hee-Chan Hwang,
Mohamed Saïd Benrahma,
Rúben Santos Gato Alves Dias,
Tomáš Souček,
Mark Noble,
Romelu Lukaku,
João Moutinho,
Diego Llorente,
Bruno Guimarães Rodriguez Moura,
Gnaly Maxwell Cornet,
Rodrigo,
N'Golo Kanté,
Dan Gosling,
Sergio Reguilón Rodríguez,
Divock Origi,
Pascal Groß,
Ismaïla Sarr,
Mohamed Salisu Abdul Karim,
Romain Saïss,
Nathan Aké,
Kortney Hause,
Raúl Alonso Jiménez Rodríguez,
Marc Albrighton,
Joël Veltman,
Oriol Romeu,
Fabian Schär,
Gabriel Teodoro Martinelli Silva,
Thiago Alcantara,
Daniel William John Ings,
Marc Cucurella Saseta,
Cristian Gabriel Romero,
Odsonne Édouard,
Kurt Happy Zouma,
Naby Deco Keïta,
Eberechi Eze,
Cesar Azpilicueta,
Ezri Konsa Ngoyo,
Jonny,
Sergi Canós Tenes,
Alexandre Lacazette,
Caglar Söyüncü,
Isaac Hayden,
Mateo Kovačić,
Moussa Sissoko,
Joshua King,
Mateusz Klich,
Juan Camilo Hernández Suárez,
Davinson Sánchez Mina,
Daniel Castelo Podence,
Grant Hanley,
Josh Brownhill,
Javier Manquillo Gaitán,
Matt Doherty,
Aaron Lennon,
Timo Werner,
Hassane Kamara,
João Pedro Junqueira de Jesus,
Jack Cork,
Ayoze Perez,
Emerson Aparecido Leite de Souza Junior,
Arthur Masuaku,
Joshua Sargent,
Nathan Michael Collins,
Enock Mwepu,
Fernando Luiz Rosa,
Séamus Coleman,
Connor Roberts,
Nélson Semedo,
Mads Roerslev Rasmussen,
Jarrad Branthwaite,
Raphaël Varane,
Milot Rashica,
Steven Bergwijn,
Lucas Rodrigues Moura da Silva,
Juraj Kucka,
Pierre Lees Melou,
Kenny Mclean,
Paul Pogba,
Joseph Willock,
Nikola Vlašić,
Rayan Aït Nouri,
Ferrán Torres García,
Benjamin Johnson,
