Player,Annual salary
Jordan Zemura,4160000
David Brooks,2860000
Jefferson Lerma,2860000
Norberto Murara,2600000
Marcos Senesi,2600000
Dominic Solanke,2600000
Hamed Junior Traorè,2340000
Jack Stephens,2340000
Philip Billing,2080000
Lewis Cook,2080000
Ryan Fredericks,1820000
Chris Mepham,1820000
Adam Smith,1820000
Junior Stanislas,1820000
Ryan Christie,1560000
Lloyd Kelly,1560000
Jack Stacey,1560000
Marcus Tavernier,1040000
Mark Travers,1040000
Kieffer Moore,780000
Jaidon Anthony,520000
Joe Rothwell,416000
Dango Ouattara,1820000
Darren Randolph,1300000
Antoine Semenyo,1040000
Ilya Zabarnyi,1300000
Gabriel Jesus,13780000
Thomas Partey,10400000
Oleksandr Zinchenko,7800000
Ben White,6240000
Granit Xhaka,6240000
Martin Ødegaard,5980000
Kieran Tierney,5720000
Edward Nketiah,5200000
Gabriel Martinelli,4680000
Bukayo Saka,3640000
Aaron Ramsdale,3220000
Takehiro Tomiyasu,2910000
Mohamed Elneny,2600000
Gabriel Magalhães,2600000
Fábio Vieira,2360000
Leandro Trossard,2340000
Rob Holding,2080000
William Saliba,2080000
Emile Smith Rowe,2080000
Ainsley Maitland-Niles,1820000
Matt Turner,1820000
Jakub Kiwior,1508000
Reiss Nelson,780000
Jorge Luiz Frello Filho,0
Lucas Digne,8500000
Boubacar Kamara,7800000
Philippe Coutinho,6500000
Emiliano Martinez,6240000
Leon Bailey,5200000
Diego Carlos,5200000
Leander Dendoncker,4680000
Matty Cash,4160000
Tyrone Mings,4160000
Robin Olsen,4160000
Emiliano Buendía,3900000
Douglas Luiz,3900000
Ollie Watkins,3900000
Jacob Ramsey,3640000
Jan Bednarek,3120000
Calum Chambers,2600000
John McGinn,2600000
Álex Moreno,1820000
Ezri Konsa,1560000
Ludwig Augustinsson,1040000
Jed Steer,1040000
Jhon Durán,1560000
Ben Mee,2860000
Bryan Mbeumo,2340000
Kristoffer Ajer,1820000
Rico Henry,1820000
Keane Lewis-Potter,1820000
Christian Nørgaard,1820000
Mikkel Damsgaard,1560000
Aaron Hickey,1560000
Vitaly Janelt,1560000
Pontus Jansson,1300000
Frank Onyeka,1300000
David Raya,1300000
Thomas Strakosha,1300000
Ivan Toney,1092000
Josh Dasilva,1040000
Mathias Jensen,1040000
Yoane Wissa,1040000
Shandon Baptiste,780000
Saman Ghoddos,780000
Ethan Pinnock,780000
Mads Roerslev,520000
Fin Stevens,280000
Kevin Schade,250000
Mads Bech Sørensen,208000
Adam Lallana,4700000
Lewis Dunk,3900000
Pascal Gross,3120000
Adam Webster,2860000
Danny Welbeck,2860000
Pervis Estupiñán,2660000
Alexis Mac Allister,2600000
Solly March,2080000
Joel Veltman,2000000
Tariq Lamptey,1820000
Robert Sánchez,1300000
Billy Gilmour,1040000
Jason Steele,1040000
Moises Caicedo,780000
Julio Enciso,520000
Kaoru Mitoma,520000
Jakub Moder,520000
Jan Paul van Hecke,260000
Facundo Buonanotte,780000
Raheem Sterling,16900000
Kalidou Koulibaly,15340000
N'Golo Kante,15080000
Reece James,13000000
Wesley Fofana,10400000
Ben Chilwell,9880000
César Azpilicueta,9360000
Marc Cucurella,9100000
Pierre-Emerick Aubameyang,8320000
Enzo Fernández,8190000
Kepa Arrizabalaga,7800000
Kai Havertz,7800000
Christian Pulisic,7800000
Ruben Loftus-Cheek,6240000
João Félix,5720000
Thiago Silva,5720000
Carney Chukwuemeka,5200000
David Fofana,5200000
Mateo Kovacic,5200000
Hakim Ziyech,5200000
Denis Zakaria,4680000
Mason Mount,4160000
Edouard Mendy,2860000
Trevoh Chalobah,2600000
Conor Gallagher,2600000
Mykhailo Mudryk,2600000
Benoit Badiashile,2340000
Armando Broja,2080000
Marcus Bettinelli,1820000
Gabriel Slonina,1040000
Malo Gusto,400000
Noni Madueke,2600000
Wilfried Zaha,6760000
Odsonne Edouard,4930000
Nathaniel Clyne,4200000
Joachim Andersen,4130000
Vicente Guaita,4004000
Luka Milivojevic,3900000
Cheick Doucouré,3120000
James McArthur,2860000
Chris Richards,2860000
Jairo Riedewald,2860000
Albert Sambi Lokonga,2700000
Marc Guehi,2610000
Jean-Philippe Mateta,2600000
Jeffrey Schlupp,2600000
James Tomkins,2600000
Michael Olise,2470000
Tyrick Mitchell,2080000
Jordan Ayew,1820000
Jack Butland,1820000
Will Hughes,1820000
Joel Ward,1820000
Eberech Eze,1560000
Nathan Ferguson,1500000
Naouirou Ahamada,1040000
Abdoulaye Doucouré,6240000
Alex Iwobi,6240000
Yerry Mina,6240000
Dominic Calvert-Lewin,5200000
Amadou Onana,5200000
Jordan Pickford,5200000
James Tarkowski,5200000
Idrissa Gueye,4160000
Michael Keane,4160000
Ben Godfrey,4000000
Mason Holgate,3640000
Vitaliy Mykolenko,3016000
Conor Coady,2860000
Seamus Coleman,2860000
Neal Maupay,2600000
Asmir Begovic,2340000
Andros Townsend,2080000
James Garner,1560000
Nathan Patterson,1456000
Tom Davies,1300000
Demarai Gray,1300000
Dwight McNeil,1300000
Ruben Vinagre,1250000
Anthony Gordon,520000
Eldin Jakupovic,260000
Ellis Simms,364000
Bernd Leno,4680000
Layvin Kurzawa,4640000
Aleksandar Mitrovic,4160000
Cedric Soares,3900000
Issa Diop,3640000
Kenny Tete,2650000
Daniel James,2600000
João Palhinha,2600000
Andreas Pereira,2600000
Tosin Adarabioyo,2110000
Willian da Silva,2080000
Shane Duffy,2080000
Carlos Vinícius,2080000
Bobby Reid,1950000
Harry Wilson,1820000
Sasa Lukic,1638000
Tom Cairney,1560000
Neeskens Kebano,1560000
Tim Ream,1560000
Harrison Reed,1560000
Antonee Robinson,1430000
Manor Solomon,1040000
Marek Rodak,780000
George Wickens,260000
Sylvester Jasper,158236
Rodrigo Machado,5200000
Patrick Bamford,3640000
Luis Sinisterra,3380000
Junior Firpo,3120000
Tyler Adams,2860000
Jack Harrison,2600000
Marc Roca,2600000
Pascal Struijk,2600000
Brenden Aaronson,2340000
