Player,Salary,Year
Aaron Connolly,1196000,2020
Aaron Cresswell,2600000,2021
Aaron Lennon,1820000,2019
Aaron Mooy,2600000,2018
Aaron Ramsdale,3220000,2021
Aaron Ramsey,6240000,2018
Aaron Wan-Bissaka,4680000,2021
Abdallah Sima,1070000,2021
Abdelhamid Sabiri,936000,2019
Abdoulaye Doucouré,3900000,2021
Aboubakar Kamara,650000,2021
Achraf Lazaar,468000,2018
Adalberto Peñaranda,936000,2020
Adam Armstrong,2490000,2021
Adam Bogdan,1248000,2017
Adam Federici,1560000,2017
Adam Forshaw,1040000,2021
Adam Idah,260000,2021
Adam Lallana,4700000,2021
Adam Legzdins,260000,2019
Adam Masina,1456000,2021
Adam Smith,1820000,2021
Adam Webster,1976000,2021
Adama Diakhaby,1560000,2020
Adama Traore,2236000,2020
Ademola Lookman,1076400,2018
Adrian Mariappa,364000,2019
Adrian San Miguel del Castillo,3016000,2021
Adrien Silva,4160000,2019
Ahmed Elmohamady,1300000,2020
Ahmed Hegazy,1378000,2021
Aiden O'Neill,0,2017
Ainsley Maitland-Niles,2704000,2019
Albert Sambi Lokonga,2700000,2021
Alberto Moreno,2080000,2018
Aleix Garcia,260000,2018
Aleksandar Dragovic,2652000,2017
Aleksandar Mitrovic,3120000,2021
Ales Mateju,832000,2017
Alex Iwobi,2600000,2021
Alex McCarthy,3466667,2021
Alex Mighten,180000,2021
Alex Oxlade-Chamberlain,6240000,2021
Alex Palmer,104000,2017
Alex Pritchard,1560000,2020
Alex Smithies,1560000,2021
Alex Telles,4840000,2021
Alexander Sörloth,936000,2018
Alexander Tettey,676000,2020
Alexandre Lacazette,9466673,2021
Alexis Mac Allister,1600000,2021
Alexis Sanchez,16380000,2018
Alfie Jones,41600,2017
Alfie Mawson,1664000,2021
Alfie Whiteman,200000,2020
Alireza Jahanbakhsh,2600000,2020
Alisson Becker,7800000,2021
Allan Loureiro,3640000,2021
Allan Saint-Maximin,2000000,2021
Allan-Romeo Nyom,1820000,2019
Alphonse Areola,3900000,2020
Alvaro Morata,8840000,2017
Amad Diallo,1500000,2020
Ander Herrera,5980000,2018
Anders Lindegaard,416000,2018
Andi Zeqiri,1300000,2020
Andre Carrillo,884000,2017
Andre Gomes,5835000,2021
Andre Gray,3640000,2020
Andre Green,312000,2018
Andre-Frank Zambo Anguissa,3484000,2021
Andreas Christensen,4160000,2021
Andreas Pereira,1560000,2019
Andrew Robertson,2600000,2020
Andrew Surman,1820000,2019
Andriy Yarmolenko,5980000,2021
Andros Townsend,2080000,2021
André Schurrle,5408000,2019
Andy Carroll,3900000,2020
Andy King,2080000,2018
Angel Rangel,1664000,2017
Angelo Ogbonna,3640000,2021
Angus Gunn,1300000,2021
Anthony Elanga,470000,2021
Anthony Gordon,520000,2021
Anthony Knockaert,1950000,2021
Anthony Martial,13000000,2020
Anthony Pilkington,728000,2017
Antonee Robinson,1430000,2021
Antonio Rudiger,5200000,2021
Antonio Valencia,4420000,2018
Anwar El Ghazi,1610000,2021
Arijanet Muric,1040000,2019
Aron Gunnarsson,1250000,2018
Arthur Masuaku,2080000,2021
Arthur Okonkwo,80000,2021
Artur Boruc,2080000,2019
Ashley Barnes,2080000,2021
Ashley Westwood,1612000,2021
Ashley Williams,3640000,2018
Ashley Young,2600000,2021
Asmir Begovic,940000,2021
Axel Tuanzebe,2600000,2020
Aymeric Laporte,6240000,2021
Ayoze Perez,2340000,2021
Baba Rahman,4470000,2021
Bailey Peacock-Farrell,500000,2020
Bakary Sako,2860000,2017
Bali Mumba,120000,2020
Barry Douglas,520000,2019
Bartosz Kapustka,1560000,2019
Ben Chilwell,9880000,2021
Ben Davies,3120000,2021
Ben Foster,1560000,2021
Ben Gibson,2080000,2021
Ben Godfrey,4000000,2021
Ben Hamer,624000,2020
Ben Johnson,1000000,2021
Ben Marshall,416000,2021
Ben Mee,2860000,2021
Ben Osborn,208000,2021
Ben Pearson,490000,2021
Ben White,6240000,2021
Ben Wilmot,260000,2020
Ben Woodburn,624000,2020
Beni Baningime,416000,2019
Benjamin Mendy,4680000,2021
Beram Kayal,1300000,2018
Bernard Anicio Caldeira Duarte,6240000,2020
Bernardo Fernandes da Silva Junior,1300000,2019
Bernardo Silva,7800000,2021
Bernd Leno,5200000,2021
Bertrand Traoré,0,2021
Billy Gilmour,2250000,2021
Billy Sharp,624000,2021
Bjorn Engels,2860000,2020
Boaz Myhill,1352000,2017
Bobby Reid,1950000,2021
Bojan Krkic,2496000,2019
Boubakary Soumaré,5150000,2021
Brad Smith,1300000,2019
Brahim Diaz,416000,2018
Braian Ojeda,550000,2021
Brandon Austin,80000,2021
Brandon Pierrick,900000,2020
Brandon Williams,3380000,2021
Branislav Ivanovic,2000000,2020
Brendan Galloway,1196000,2018
Brian Murphy,545000,2018
Bruno Ecuele Manga,1248000,2018
Bruno Fernandes,8022857,2021
Bruno Guimarães,5616000,2021
Bruno Jordao,780000,2019
Bruno Martins Indi,3120000,2021
Bruno Saltor Grau,1560000,2017
Bryan Mbeumo,4160000,2021
Bukayo Saka,1560000,2021
Caglar Soyuncu,2340000,2021
Callum Hudson-Odoi,6240000,2021
Callum Paterson,1170000,2021
Callum Robinson,400000,2021
Callum Wilson,2400000,2021
Calum Chambers,1225000,2021
Cameron Borthwick-Jackson,520000,2017
Cameron Brannagan,156000,2017
Cameron Carter-Vickers,832000,2020
Caoimhin Kelleher,312000,2021
Carl Jenkinson,2340000,2018
Carlos Miguel Ribiero Dias,920000,2021
Carlos Sanchez,2600000,2019
Cedric Kipre,500000,2021
Cedric Soares,3900000,2021
Cengiz Ünder,4900000,2020
Cenk Tosun,3120000,2021
Cesc Fàbregas,8112000,2018
Chancel Mbemba,1820000,2017
Charlie Adam,1820000,2017
Charlie Austin,3640000,2019
Charlie Cresswell,110000,2021
Charlie Daniels,1820000,2019
Charlie Goode,292500,2020
Charlie Taylor,1300000,2021
Charly Musonda,550000,2021
Che Adams,1560000,2021
Cheikhou Kouyate,3380000,2021
Chris Basham,487000,2021
Chris Brunt,2340000,2017
Chris Lowe,1040000,2020
Chris Mepham,607000,2021
Chris Smalling,3640000,2018
Chris Wood,3466667,2021
Christian Atsu,1560000,2020
Christian Benteke,6240000,2021
Christian Eriksen,3900000,2018
Christian Fuchs,2600000,2020
Christian Kabasele,1560000,2021
Christian Nørgaard,1040000,2021
Christian Pulisic,7150000,2021
Christian Walton,416000,2020
Christoph Zimmermann,1010000,2021
Christopher Schindler,1300000,2020
Chuba Akpom,1040000,2017
Chung-Yong Lee,1300000,2017
Ciaran Clark,1820000,2021
Claudio Bravo,4160000,2019
Claudio Yacob,3120000,2017
Cody Drameh,30000,2021
Cohen Bramall,52000,2017
Cole Palmer,700000,2021
Collin Quaner,832000,2019
Connor Goldson,1040000,2017
Connor Mahoney,624000,2018
Connor Ronan,40000,2021
Connor Wickham,3120000,2020
Conor Coady,858000,2021
Conor Gallagher,500000,2020
Conor Grant,156000,2017
Conor Hourihane,1560000,2019
Conor Shaughnessy,371800,2019
Conor Townsend,5980000,2020
Craig Cathcart,1195000,2021
Craig Dawson,2210000,2021
Cristian Romero,0,2021
Cristiano Ronaldo,26800000,2021
Crysencio Summerville,300000,2021
Cucho Hernández,0,2021
Cuco Martina,1820000,2019
Curtis Good,624000,2017
Curtis Jones,390000,2021
Cyrus Christie,1040000,2021
César Azpilicueta,7800000,2021
Dale Stephens,1820000,2021
Daley Blind,3900000,2017
Damien Delaney,1300000,2017
Dan Agyei,36400,2018
Dan Burn,1000000,2021
Dan Gosling,1820000,2021
Dani Ceballos,2700000,2020
Daniel Amartey,1092000,2021
Daniel Bachmann,156000,2021
Daniel James,2600000,2021
Daniel Podence,3120000,2021
Daniel Sturridge,6760000,2018
Daniel Williams,1560000,2018
Danilo Luiz da Silva,4160000,2018
Danny Drinkwater,6240000,2019
Danny Ings,6240000,2021
Danny Rose,3120000,2021
Danny Simpson,2340000,2018
Danny Ward,1040000,2021
Danny Welbeck,2860000,2021
Dara O'Shea,208000,2021
Darnell Furlong,962000,2021
Darren Fletcher,2860000,2018
Darren Randolph,2100000,2021
Daryl Janmaat,2340000,2019
David Brooks,1040000,2021
David Button,228000,2021
David De Gea,19500000,2021
David Luiz,6535000,2020
David McGoldrick,1500000,2021
David Ospina,2080000,2017
David Raya,1300000,2021
David Silva,8320000,2019
Davide Zappacosta,3640000,2018
Davinson Sanchez,3380000,2021
Davy Klaassen,3640000,2017
Davy Propper,2340000,2020
Dean Henderson,5200000,2021
Dean Marney,1144000,2017
Dean Whitehead,520000,2017
Deandre Yedlin,1560000,2019
Declan Rice,3120000,2021
Dejan Kulusevski,0,2021
Dejan Lovren,5200000,2019
Dele Alli,5200000,2021
Demarai Gray,1300000,2021
Denis Odoi,462800,2021
Dennis Praet,3900000,2020
Dennis Srbeny,208000,2018
Diego Llorente,1144000,2021
Diego Rico,1001000,2021
Dimitris Giannoulis,390000,2021
Diogo Dalot,1300000,2021
Diogo Jota,4700000,2021
Divock Origi,3120000,2021
Domingos Quina,416000,2021
Dominic Calvert-Lewin,1248000,2021
Dominic Iorfa,416000,2018
Dominic Solanke,2600000,2021
Dominic Thompson,182000,2020
Donny van de Beek,6240000,2021
Douglas Luiz,1709396,2021
Dusan Tadic,3120000,2017
Dwight Gayle,2080000,2021
Dwight McNeil,260000,2021
Eberech Eze,1560000,2021
Eden Hazard,11700000,2018
Ederson Moraes,3380000,2021
Edimilson Fernandes,1560000,2017
Edinson Cavani,13000000,2021
Edouard Mendy,2704000,2021
Eduardo Carvalho,520000,2017
Edward Nketiah,2340000,2021
Eldin Jakupovic,1196000,2020
Eliaquim Mangala,5200000,2018
Elias Kachunga,1300000,2020
Ellery Balcombe,170000,2020
Elliot Anderson,2340000,2021
Emerson Hyndman,780000,2018
Emerson Palmieri,3510000,2020
Emerson Royal,2170000,2021
Emil Krafth,3000000,2021
Emile Smith Rowe,1040000,2021
Emiliano Buendía,3900000,2021
Emiliano Marcondes,730000,2021
Emiliano Martinez,7488000,2021
Emre Can,2340000,2017
Enda Stevens,208000,2021
Enock Mwepu,1600000,2021
Eric Bailly,4160000,2021
Eric Dier,3755200,2021
Eric Garcia,750000,2020
Eric Maxim Choupo-Moting,3380000,2019
Erik Durm,1820000,2019
Erik Lamela,4160000,2020
Erik Pieters,2500000,2021
Erwin Mulder,1040000,2019
Ethan Ampadu,390000,2020
Ethan Ebanks-Landell,156000,2018
Ethan Horvath,890000,2021
Ethan Pinnock,780000,2021
Eunan O'Kane,676000,2019
Ezequiel Schelotto,1664000,2019
Ezgjan Alioski,780000,2020
Ezri Konsa,1560000,2021
Fabian Balbuena,2080000,2020
Fabian Delph,4160000,2021
Fabian Schar,2080000,2021
Fabinho Tavares,9360000,2021
Fabio Silva,4160000,2021
Fabricio Agosto Ramírez,2340000,2021
Federico Fernandez,2459600,2021
Felipe Anderson,4420000,2019
