full_name,salary,year
Gareth Bale,31200000,2020
Kevin De Bruyne,20800000,2020
David De Gea,19500000,2020
Raheem Sterling,15600000,2020
N'Golo Kante,15080000,2020
Paul Pogba,15080000,2020
Timo Werner,14144000,2020
Pierre-Emerick Aubameyang,13000000,2020
Edinson Cavani,13000000,2020
Anthony Martial,13000000,2020
Sergio Aguero,11967000,2020
Thomas Partey,10400000,2020
Thiago Alcantara do Nascimento,10400000,2020
Mohamed Salah,10400000,2020
Marcus Rashford,10400000,2020
Harry Kane,10400000,2020
Tanguy Ndombele,10400000,2020
Willian da Silva,10000000,2020
Ben Chilwell,9880000,2020
Alexandre Lacazette,9466673,2020
Roberto Firmino,9360000,2020
Ruben Dias,9013333,2020
Thiago Silva,8580000,2020
Virgil Van Dijk,8580000,2020
Harry Maguire,8464286,2020
Juan Mata,8320000,2020
Bruno Fernandes,8022857,2020
Kepa Arrizabalaga,7800000,2020
Cesar Azpilicueta,7800000,2020
Kai Havertz,7800000,2020
Mateo Kovacic,7800000,2020
Fernandinho Luis Roza,7800000,2020
Bernardo Silva,7800000,2020
Nicolas Pepe,7280000,2020
Jamie Vardy,7280000,2020
Jordan Henderson,7280000,2020
James Milner,7280000,2020
Ilkay Gundogan,7280000,2020
Heung-Min Son,7280000,2020
Christian Pulisic,7150000,2020
Wilfried Zaha,6760000,2020
Kasper Schmeichel,6760000,2020
David Luiz,6535000,2020
Rodrigo Hernandez Cascante,6300000,2020
Jack Grealish,6240000,2020
Callum Hudson-Odoi,6240000,2020
Christian Benteke,6240000,2020
Bernard Anicio Caldeira Duarte,6240000,2020
Yerry Mina,6240000,2020
Naby Keita,6240000,2020
Alex Oxlade-Chamberlain,6240000,2020
Aymeric Laporte,6240000,2020
Riyad Mahrez,6240000,2020
Luke Shaw,6240000,2020
Frederico de Paula Santos,6240000,2020
Victor Lindelof,6240000,2020
Nemanja Matic,6240000,2020
Donny van de Beek,6240000,2020
Leander Dendoncker,6240000,2020
Lucas Digne,6188000,2020
Sebastien Haller,6000000,2020
Conor Townsend,5980000,2020
Andriy Yarmolenko,5980000,2020
Andre Gomes,5835000,2020
Hector Bellerin,5720000,2020
Jorge Luiz Frello Filho,5720000,2020
Olivier Giroud,5720000,2020
James Maddison,5720000,2020
Kyle Walker,5720000,2020
Pierre-Emile Hojbjerg,5300000,2020
Jordan Pickford,5208333,2020
Sead Kolasinac,5200000,2020
Bernd Leno,5200000,2020
Granit Xhaka,5200000,2020
Marcos Alonso,5200000,2020
Antonio Rudiger,5200000,2020
Hakim Ziyech,5200000,2020
Mamadou Sakho,5200000,2020
Gylfi Sigurdsson,5200000,2020
Sadio Mane,5200000,2020
Fabinho Tavares,5200000,2020
John Stones,5200000,2020
Dean Henderson,5200000,2020
Dele Alli,5200000,2020
Hugo Lloris,5200000,2020
Rui Patricio,5200000,2020
Jared Bowen,5000000,2020
Cengiz Under,4900000,2020
Alex Telles,4840000,2020
Nathan Ake,4800000,2020
Ross Barkley,4766667,2020
Adam Lallana,4700000,2020
Diogo Jota,4700000,2020
Gabriel Martinelli,4680000,2020
