Player,Salary,Year
Cristiano Ronaldo,26800000,2021
Kevin De Bruyne,20800000,2021
David De Gea,19500000,2021
Jadon Sancho,18200000,2021
Raphael Varane,17680000,2021
Romelu Lukaku,16900000,2021
Jack Grealish,15600000,2021
Raheem Sterling,15600000,2021
N'Golo Kante,15080000,2021
Paul Pogba,15080000,2021
Timo Werner,14144000,2021
John Stones,13000000,2021
Edinson Cavani,13000000,2021
Virgil Van Dijk,11440000,2021
Thomas Partey,10400000,2021
Thiago Alcántara do Nascimento,10400000,2021
Mohamed Salah,10400000,2021
Marcus Rashford,10400000,2021
Harry Kane,10400000,2021
Saul Niguez,10310000,2021
Heung-Min Son,9984000,2021
Ben Chilwell,9880000,2021
Alexandre Lacazette,9466673,2021
Trent Alexander-Arnold,9360000,2021
Roberto Firmino,9360000,2021
Fabinho Tavares,9360000,2021
Ruben Dias,9013333,2021
Thiago Silva,8580000,2021
Harry Maguire,8464286,2021
Juan Mata,8320000,2021
Bruno Fernandes,8022857,2021
Kepa Arrizabalaga,7800000,2021
César Azpilicueta,7800000,2021
Kai Havertz,7800000,2021
Mateo Kovacic,7800000,2021
Alisson Becker,7800000,2021
Fernandinho Luis Roza,7800000,2021
Bernardo Silva,7800000,2021
Lucas Digne,7650000,2021
Emiliano Martinez,7488000,2021
Nicolas Pepe,7280000,2021
Jamie Vardy,7280000,2021
James Milner,7280000,2021
Ilkay Gundogan,7280000,2021
Christian Pulisic,7150000,2021
Wilfried Zaha,6760000,2021
Kasper Schmeichel,6760000,2021
Rodrigo Hernández Cascante,6300000,2021
Kieran Trippier,6250000,2021
Ben White,6240000,2021
Danny Ings,6240000,2021
Callum Hudson-Odoi,6240000,2021
Malang Sarr,6240000,2021
Christian Benteke,6240000,2021
Yerry Mina,6240000,2021
Naby Keita,6240000,2021
Alex Oxlade-Chamberlain,6240000,2021
Aymeric Laporte,6240000,2021
Riyad Mahrez,6240000,2021
Luke Shaw,6240000,2021
Frederico de Paula Santos,6240000,2021
Victor Lindelof,6240000,2021
Nemanja Matic,6240000,2021
Donny van de Beek,6240000,2021
Kurt Zouma,6240000,2021
Leander Dendoncker,6240000,2021
Andriy Yarmolenko,5980000,2021
Andre Gomes,5835000,2021
Kieran Tierney,5720000,2021
Jorge Luiz Frello Filho,5720000,2021
James Maddison,5720000,2021
Kyle Walker,5720000,2021
Bruno Guimarães,5616000,2021
Pierre-Emile Hojbjerg,5300000,2021
Jordan Pickford,5208333,2021
Bernd Leno,5200000,2021
Granit Xhaka,5200000,2021
Leon Bailey,5200000,2021
Marcos Alonso,5200000,2021
Antonio Rudiger,5200000,2021
Hakim Ziyech,5200000,2021
Dele Alli,5200000,2021
Gylfi Sigurdsson,5200000,2021
Sadio Mane,5200000,2021
Dean Henderson,5200000,2021
Hugo Lloris,5200000,2021
Boubakary Soumaré,5150000,2021
Jared Bowen,5000000,2021
Odsonne Edouard,4930000,2021
Alex Telles,4840000,2021
Nathan Ake,4800000,2021
Ross Barkley,4766667,2021
Adam Lallana,4700000,2021
Diogo Jota,4700000,2021
Gabriel Martinelli,4680000,2021
Michy Batshuayi,4680000,2021
Richarlison de Andrade,4680000,2021
Gabriel Jesus,4680000,2021
Benjamin Mendy,4680000,2021
Aaron Wan-Bissaka,4680000,2021
Joelinton Cassio Apolinário de Lira,4500000,2021
Baba Rahman,4470000,2021
Nathaniel Clyne,4200000,2021
Tyrone Mings,4160000,2021
Bryan Mbeumo,4160000,2021
Andreas Christensen,4160000,2021
Mason Mount,4160000,2021
Fabian Delph,4160000,2021
Joao Cancelo,4160000,2021
Eric Bailly,4160000,2021
Saido Berahino,4160000,2021
Lucas Moura,4160000,2021
Moussa Sissoko,4160000,2021
Fabio Silva,4160000,2021
Joachim Andersen,4130000,2021
Martin Ødegaard,4110000,2021
Ben Godfrey,4000000,2021
Nelson Semedo,4000000,2021
Cedric Soares,3900000,2021
Emiliano Buendía,3900000,2021
Ollie Watkins,3900000,2021
Abdoulaye Doucouré,3900000,2021
Onyinye Ndidi,3900000,2021
Joe Gomez,3900000,2021
Takumi Minamino,3900000,2021
Mason Greenwood,3900000,2021
Phil Jones,3900000,2021
Jesse Lingard,3900000,2021
Theo Walcott,3900000,2021
Rodrigo Bentancur,3900000,2021
Steven Bergwijn,3800000,2021
Eric Dier,3755200,2021
Allan Loureiro,3640000,2021
Seamus Coleman,3640000,2021
Ricardo Pereira,3640000,2021
Ibrahima Konate,3640000,2021
Jonjo Shelvey,3640000,2021
Fraser Forster,3640000,2021
Kevin Wimmer,3640000,2021
Michail Antonio,3640000,2021
Manuel Lanzini,3640000,2021
Angelo Ogbonna,3640000,2021
Nikola Vlasic,3640000,2021
Pablo Fornals,3500000,2021
Tomas Soucek,3500000,2021
Andre-Frank Zambo Anguissa,3484000,2021
Issa Diop,3484000,2021
Chris Wood,3466667,2021
Alex McCarthy,3466667,2021
Matt Doherty,3400000,2021
Jannik Vestergaard,3390000,2021
Matty Cash,3380000,2021
Cheikhou Kouyate,3380000,2021
Michael Keane,3380000,2021
Jean Michael Seri,3380000,2021
Ederson Moraes,3380000,2021
Brandon Williams,3380000,2021
Davinson Sanchez,3380000,2021
Lukasz Fabianski,3380000,2021
Nathaniel Phillips,3360000,2021
Raphael Belloli,3302000,2021
Timothy Castagne,3276000,2021
Ismaila Sarr,3276000,2021
Patson Daka,3230000,2021
Aaron Ramsdale,3220000,2021
Cenk Tosun,3120000,2021
Aleksandar Mitrovic,3120000,2021
Kelechi Iheanacho,3120000,2021
Divock Origi,3120000,2021
Konstantinos Tsimikas,3120000,2021
Scott McTominay,3120000,2021
Mohamed Elyounoussi,3120000,2021
Shane Long,3120000,2021
Nathan Redmond,3120000,2021
Bruno Martins Indi,3120000,2021
Ben Davies,3120000,2021
Danny Rose,3120000,2021
Declan Rice,3120000,2021
Daniel Podence,3120000,2021
Reece James,3016000,2021
Vitaliy Mykolenko,3016000,2021
Adrian San Miguel del Castillo,3016000,2021
Tammy Abraham,3000000,2021
Rodrigo Machado,3000000,2021
Emil Krafth,3000000,2021
Ryan Sessegnon,3000000,2021
Jeffrey Schlupp,2912000,2021
Takehiro Tomiyasu,2910000,2021
Danny Welbeck,2860000,2021
Ben Mee,2860000,2021
James McArthur,2860000,2021
Luka Milivojevic,2860000,2021
Will Hughes,2860000,2021
Nampalys Mendy,2860000,2021
Ibrahima Diallo,2860000,2021
Moussa Djenepo,2860000,2021
Ruben Loftus-Cheek,2808000,2021
Jean-Philippe Mateta,2775000,2021
Mohamed Elneny,2730000,2021
Rob Holding,2704000,2021
Edouard Mendy,2704000,2021
Albert Sambi Lokonga,2700000,2021
Nathaniel Chalobah,2700000,2021
Luis Díaz,2669333,2021
