Name,Win rate,Loss rate,Team,Games Played,Average Tackles,Average Errors leading to a goal,Average Blocked shots,Average Interceptions,Average Clearances,Average Recoveries,Average Duels won,Average Duels lost,Average Goals,Average Passes,Average Accurate long balls,Average Yellow cards,Average Red cards,Average Fouls
Lloyd Kelly,0.3333333333333333,0.5416666666666666,Bournemouth,24,1.125,0.041666666666666664,0.125,1.0833333333333333,3.375,4.708333333333333,3.0833333333333335,2.5833333333333335,0.0,37.5,2.25,0.20833333333333334,0.0,0.7083333333333334
Chris Mepham,0.22916666666666666,0.5625,Bournemouth,48,1.3125,0.041666666666666664,0.041666666666666664,1.2083333333333333,5.1875,3.5833333333333335,4.020833333333333,2.7083333333333335,0.020833333333333332,36.416666666666664,1.5625,0.1875,0.0,0.6875
Adam Smith,0.3103448275862069,0.45977011494252873,Bournemouth,174,1.9597701149425288,0.005747126436781609,0.1206896551724138,1.1781609195402298,1.9482758620689655,4.091954022988506,5.275862068965517,4.413793103448276,0.028735632183908046,33.39080459770115,1.1954022988505748,0.21839080459770116,0.005747126436781609,0.9885057471264368
Jack Stacey,0.21428571428571427,0.5714285714285714,Bournemouth,28,0.9285714285714286,0.0,0.0,0.8214285714285714,2.357142857142857,3.6785714285714284,3.107142857142857,2.857142857142857,0.0,24.785714285714285,1.0714285714285714,0.14285714285714285,0.0,0.5
Jordan Zemura,0.21052631578947367,0.47368421052631576,Bournemouth,19,2.0526315789473686,0.0,0.05263157894736842,0.8421052631578947,1.368421052631579,4.105263157894737,4.105263157894737,4.105263157894737,0.0,24.05263157894737,0.5789473684210527,0.05263157894736842,0.0,0.8947368421052632
Ryan Fredericks,0.30666666666666664,0.4666666666666667,Bournemouth,75,1.7866666666666666,0.013333333333333334,0.08,0.7066666666666667,2.04,2.9066666666666667,3.6666666666666665,3.0,0.02666666666666667,24.0,0.68,0.21333333333333335,0.0,0.68
Marcos Senesi,0.23076923076923078,0.6153846153846154,Bournemouth,26,1.5769230769230769,0.0,0.038461538461538464,1.2307692307692308,4.615384615384615,5.230769230769231,3.1538461538461537,2.3076923076923075,0.07692307692307693,38.30769230769231,3.3846153846153846,0.15384615384615385,0.0,0.8461538461538461
Jack Stephens,0.27205882352941174,0.4338235294117647,Bournemouth,136,1.3897058823529411,0.007352941176470588,0.03676470588235294,1.4485294117647058,3.9926470588235294,5.3161764705882355,3.735294117647059,3.2058823529411766,0.029411764705882353,41.51470588235294,2.5661764705882355,0.16911764705882354,0.014705882352941176,0.5661764705882353
Matias Vina,0.6,0.4,Bournemouth,5,1.0,0.0,0.0,0.2,0.8,1.0,3.0,1.0,0.2,4.2,0.0,0.0,0.0,0.0
Illia Zabarnyi,0.0,1.0,Bournemouth,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Kieran Tierney,0.5930232558139535,0.2441860465116279,Arsenal,86,0.9186046511627907,0.0,0.1511627906976744,0.5697674418604651,1.755813953488372,3.4302325581395348,2.453488372093023,2.453488372093023,0.03488372093023256,33.406976744186046,1.4069767441860466,0.06976744186046512,0.0,0.36046511627906974
Ben White,0.51,0.26,Arsenal,100,1.46,0.0,0.12,1.23,2.16,4.71,3.87,3.27,0.02,51.86,2.24,0.11,0.01,0.7
Gabriel Magalhaes,0.6222222222222222,0.24444444444444444,Arsenal,90,1.3222222222222222,0.03333333333333333,0.15555555555555556,0.7222222222222222,3.2444444444444445,5.144444444444445,4.666666666666667,2.7333333333333334,0.1111111111111111,62.6,2.3666666666666667,0.13333333333333333,0.022222222222222223,0.7111111111111111
Rob Holding,0.5833333333333334,0.25,Arsenal,96,1.125,0.0,0.052083333333333336,0.875,3.6458333333333335,4.21875,3.8229166666666665,3.1354166666666665,0.010416666666666666,48.59375,2.4583333333333335,0.125,0.010416666666666666,0.6875
Takehiro Tomiyasu,0.6904761904761905,0.21428571428571427,Arsenal,42,1.4761904761904763,0.023809523809523808,0.09523809523809523,0.9047619047619048,1.6428571428571428,3.119047619047619,3.619047619047619,2.880952380952381,0.0,31.738095238095237,1.1904761904761905,0.09523809523809523,0.0,0.5238095238095238
William Saliba,0.7777777777777778,0.1111111111111111,Arsenal,27,1.2592592592592593,0.037037037037037035,0.0,0.7037037037037037,3.037037037037037,7.62962962962963,4.037037037037037,2.6296296296296298,0.07407407407407407,69.03703703703704,2.3703703703703702,0.14814814814814814,0.0,0.7037037037037037
Jakub Kiwior,0.5,0.0,Arsenal,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0
Matty Cash,0.39325842696629215,0.4606741573033708,Aston Villa,89,2.337078651685393,0.0,0.1797752808988764,1.4943820224719102,2.2247191011235956,4.696629213483146,4.842696629213483,3.8876404494382024,0.0449438202247191,33.29213483146067,1.651685393258427,0.19101123595505617,0.011235955056179775,1.0224719101123596
Ezri Konsa,0.38524590163934425,0.4262295081967213,Aston Villa,122,0.8442622950819673,0.01639344262295082,0.08196721311475409,0.7213114754098361,3.3278688524590163,4.073770491803279,4.467213114754099,2.377049180327869,0.040983606557377046,37.90163934426229,1.5737704918032787,0.12295081967213115,0.01639344262295082,0.5245901639344263
Tyrone Mings,0.3708609271523179,0.44370860927152317,Aston Villa,151,0.6423841059602649,0.039735099337748346,0.07947019867549669,1.1721854304635762,4.602649006622516,5.410596026490066,3.456953642384106,2.1125827814569536,0.033112582781456956,45.11258278145695,3.1390728476821192,0.17880794701986755,0.006622516556291391,0.6158940397350994
Calum Chambers,0.3735632183908046,0.3850574712643678,Aston Villa,174,1.6839080459770115,0.011494252873563218,0.14942528735632185,1.5459770114942528,3.6206896551724137,4.942528735632184,4.597701149425287,4.132183908045977,0.040229885057471264,41.04022988505747,2.074712643678161,0.1781609195402299,0.005747126436781609,0.9425287356321839
Ashley Young,0.47002398081534774,0.2637889688249401,Aston Villa,417,1.4148681055155876,0.0,0.3932853717026379,1.1103117505995204,1.0839328537170263,4.014388489208633,4.290167865707434,4.381294964028777,0.11750599520383694,30.237410071942445,1.7841726618705036,0.18225419664268586,0.004796163069544364,1.040767386091127
Lucas Digne,0.3815789473684211,0.3881578947368421,Aston Villa,152,1.8421052631578947,0.0,0.27631578947368424,1.2171052631578947,2.3289473684210527,4.868421052631579,5.4868421052631575,4.098684210526316,0.03289473684210526,38.43421052631579,1.388157894736842,0.1513157894736842,0.013157894736842105,1.0921052631578947
Diego Carlos,0.5,0.5,Aston Villa,2,0.5,0.0,0.5,0.5,1.0,7.0,2.0,2.5,0.0,62.5,3.0,0.0,0.0,0.5
Alex Moreno,0.6428571428571429,0.21428571428571427,Aston Villa,14,1.2142857142857142,0.07142857142857142,0.14285714285714285,0.35714285714285715,1.3571428571428572,3.9285714285714284,3.857142857142857,5.285714285714286,0.0,32.785714285714285,0.35714285714285715,0.21428571428571427,0.0,1.1428571428571428
Rico Henry,0.3230769230769231,0.35384615384615387,Brentford,65,1.2153846153846153,0.0,0.2,0.7846153846153846,1.7538461538461538,5.276923076923077,3.8,4.507692307692308,0.046153846153846156,27.876923076923077,1.1076923076923078,0.03076923076923077,0.0,0.676923076923077
Ethan Pinnock,0.32142857142857145,0.39285714285714285,Brentford,56,1.6428571428571428,0.03571428571428571,0.08928571428571429,1.3214285714285714,5.857142857142857,4.160714285714286,6.392857142857143,2.8392857142857144,0.05357142857142857,40.392857142857146,1.8571428571428572,0.017857142857142856,0.0,0.26785714285714285
Pontus Jansson,0.32653061224489793,0.4489795918367347,Brentford,49,0.9183673469387755,0.0,0.10204081632653061,1.2448979591836735,4.571428571428571,3.8979591836734695,3.7755102040816326,2.63265306122449,0.08163265306122448,36.816326530612244,1.0612244897959184,0.14285714285714285,0.0,0.3469387755102041
Kristoffer Ajer,0.3333333333333333,0.42424242424242425,Brentford,33,1.2121212121212122,0.0,0.15151515151515152,1.0,2.6666666666666665,4.393939393939394,4.303030303030303,2.9696969696969697,0.030303030303030304,30.818181818181817,1.4545454545454546,0.15151515151515152,0.0,0.5151515151515151
Zanka,0.2261904761904762,0.5119047619047619,Brentford,84,1.5238095238095237,0.011904761904761904,0.05952380952380952,2.011904761904762,4.345238095238095,4.488095238095238,3.619047619047619,3.7738095238095237,0.047619047619047616,39.67857142857143,2.369047619047619,0.17857142857142858,0.0,1.119047619047619
Mads Roerslev,0.43243243243243246,0.32432432432432434,Brentford,37,1.162162162162162,0.0,0.02702702702702703,0.6756756756756757,1.4864864864864864,2.6216216216216215,2.1621621621621623,3.054054054054054,0.02702702702702703,14.35135135135135,0.5675675675675675,0.02702702702702703,0.0,0.5405405405405406
Aaron Hickey,0.25,0.35,Brentford,20,1.7,0.0,0.2,0.85,0.9,4.05,4.4,3.35,0.0,26.7,0.9,0.3,0.0,0.8
Ben Mee,0.2903225806451613,0.42338709677419356,Brentford,248,1.3387096774193548,0.024193548387096774,0.08064516129032258,1.4959677419354838,5.69758064516129,5.536290322580645,5.733870967741935,3.524193548387097,0.04838709677419355,37.596774193548384,3.725806451612903,0.1774193548387097,0.0,0.6209677419354839
Finley Stevens,0.0,1.0,Brentford,1,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Tariq Lamptey,0.3142857142857143,0.34285714285714286,Brighton & Hove Albion,70,1.042857142857143,0.0,0.12857142857142856,0.9,0.6571428571428571,3.1857142857142855,3.7857142857142856,3.5285714285714285,0.014285714285714285,19.97142857142857,0.22857142857142856,0.12857142857142856,0.014285714285714285,0.9571428571428572
Adam Webster,0.34285714285714286,0.3047619047619048,Brighton & Hove Albion,105,0.9809523809523809,0.01904761904761905,0.08571428571428572,1.2,2.8285714285714287,5.076190476190476,4.571428571428571,2.723809523809524,0.05714285714285714,59.733333333333334,3.361904761904762,0.13333333333333333,0.0,0.5904761904761905
