Name,Win rate,Loss rate,Team,Games Played,Average Saves,Average Penalties saved,Average Clean sheets,Average Goals conceded,Average Errors leading to a goal,Average Passes,Average Accurate long balls,Average Yellow cards,Average Red cards,Average Fouls
Mark Travers,0.21428571428571427,0.7857142857142857,Bournemouth,14,3.0,0.0,0.21428571428571427,2.7857142857142856,0.07142857142857142,24.571428571428573,6.142857142857143,0.0,0.0,0.0
Neto,0.3333333333333333,0.38095238095238093,Bournemouth,21,3.7142857142857144,0.0,0.23809523809523808,1.3333333333333333,0.0,25.0,6.9523809523809526,0.19047619047619047,0.0,0.0
Darren Randolph,0.35294117647058826,0.4411764705882353,Bournemouth,34,2.676470588235294,0.029411764705882353,0.20588235294117646,1.7941176470588236,0.14705882352941177,26.470588235294116,9.529411764705882,0.029411764705882353,0.0,0.0
Aaron Ramsdale,0.425531914893617,0.44680851063829785,Arsenal,141,3.148936170212766,0.0070921985815602835,0.24113475177304963,1.4042553191489362,0.03546099290780142,26.5177304964539,5.411347517730497,0.02127659574468085,0.0,0.0070921985815602835
Emiliano Martinez,0.42857142857142855,0.40336134453781514,Aston Villa,119,3.0588235294117645,0.025210084033613446,0.35294117647058826,1.2016806722689075,0.025210084033613446,28.915966386554622,5.882352941176471,0.10084033613445378,0.0,0.01680672268907563
Robin Olsen,0.25,0.4166666666666667,Aston Villa,12,2.8333333333333335,0.0,0.25,1.6666666666666667,0.0,26.666666666666668,5.916666666666667,0.08333333333333333,0.0,0.0
David Raya,0.35714285714285715,0.30357142857142855,Brentford,56,3.75,0.0,0.30357142857142855,1.2321428571428572,0.03571428571428571,39.07142857142857,10.75,0.03571428571428571,0.0,0.017857142857142856
Robert Sanchez,0.3448275862068966,0.3103448275862069,Brighton & Hove Albion,87,2.471264367816092,0.011494252873563218,0.3103448275862069,1.1379310344827587,0.022988505747126436,34.367816091954026,5.367816091954023,0.09195402298850575,0.011494252873563218,0.04597701149425287
Jason Steele,0.42857142857142855,0.2857142857142857,Brighton & Hove Albion,7,2.2857142857142856,0.0,0.42857142857142855,1.2857142857142858,0.0,30.571428571428573,4.285714285714286,0.14285714285714285,0.0,0.14285714285714285
Kepa Arrizabalaga,0.47572815533980584,0.30097087378640774,Chelsea,103,2.3009708737864076,0.009708737864077669,0.33980582524271846,1.1359223300970873,0.02912621359223301,28.854368932038835,4.495145631067961,0.038834951456310676,0.0,0.0
Edouard Mendy,0.527027027027027,0.22972972972972974,Chelsea,74,2.0945945945945947,0.013513513513513514,0.4189189189189189,0.918918918918919,0.04054054054054054,26.04054054054054,3.6486486486486487,0.08108108108108109,0.0,0.02702702702702703
Marcus Bettinelli,0.14285714285714285,0.5714285714285714,Goalkeeper,7,2.857142857142857,0.14285714285714285,0.0,2.857142857142857,0.0,30.142857142857142,9.428571428571429,0.14285714285714285,0.0,0.0
Vicente Guaita,0.3221476510067114,0.40268456375838924,Crystal Palace,149,3.0134228187919465,0.006711409395973154,0.28187919463087246,1.3154362416107384,0.020134228187919462,25.516778523489933,5.939597315436242,0.053691275167785234,0.0,0.020134228187919462
Sam Johnstone,0.15,0.55,Crystal Palace,40,4.55,0.025,0.175,1.875,0.0,29.875,8.2,0.025,0.0,0.025
Joe Whitworth,0.0,1.0,Crystal Palace,2,2.5,0.0,0.0,2.5,0.0,37.5,6.5,0.0,0.0,0.0
Jordan Pickford,0.3140495867768595,0.45867768595041325,Everton,242,3.1818181818181817,0.01652892561983471,0.24793388429752067,1.4834710743801653,0.0743801652892562,30.871900826446282,8.483471074380166,0.045454545454545456,0.0,0.02066115702479339
Asmir Begovic,0.3203125,0.4140625,Everton,256,2.98828125,0.01171875,0.24609375,1.39453125,0.10546875,21.91015625,7.71875,0.046875,0.0,0.01953125
Marek Rodak,0.0,0.5,Fulham,4,1.5,0.0,0.25,1.75,0.0,24.75,6.25,0.0,0.0,0.0
Bernd Leno,0.43846153846153846,0.33076923076923076,Fulham,130,3.3153846153846156,0.015384615384615385,0.24615384615384617,1.2846153846153847,0.06153846153846154,28.976923076923075,3.853846153846154,0.038461538461538464,0.007692307692307693,0.015384615384615385
Illan Meslier,0.3047619047619048,0.4666666666666667,Leeds United,105,3.5428571428571427,0.009523809523809525,0.2,1.838095238095238,0.0380952380952381,28.466666666666665,4.0476190476190474,0.047619047619047616,0.0,0.01904761904761905
Kristoffer Klaesson,1.0,0.0,Leeds United,1,4.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0
Joel Robles,0.39215686274509803,0.37254901960784315,Leeds United,51,2.784313725490196,0.0,0.3333333333333333,1.2549019607843137,0.0784313725490196,26.54901960784314,6.784313725490196,0.0784313725490196,0.0,0.0392156862745098
Danny Ward,0.3103448275862069,0.5862068965517241,Leicester City,29,3.1379310344827585,0.034482758620689655,0.20689655172413793,1.7586206896551724,0.034482758620689655,29.655172413793103,4.448275862068965,0.0,0.0,0.0
Daniel Iversen,0.0,0.6666666666666666,Leicester City,6,3.3333333333333335,0.0,0.0,1.6666666666666667,0.0,27.833333333333332,3.1666666666666665,0.0,0.0,0.0
Alisson,0.6646706586826348,0.1317365269461078,Liverpool,167,2.311377245508982,0.011976047904191617,0.4491017964071856,0.8323353293413174,0.04790419161676647,30.407185628742514,4.155688622754491,0.011976047904191617,0.005988023952095809,0.017964071856287425
Adrian,0.41007194244604317,0.3237410071942446,Liverpool,139,3.338129496402878,0.03597122302158273,0.2733812949640288,1.3381294964028776,0.07194244604316546,25.0431654676259,7.884892086330935,0.07194244604316546,0.014388489208633094,0.03597122302158273
Caoimhin Kelleher,0.5,0.25,Liverpool,4,3.0,0.0,0.5,0.75,0.0,32.5,2.0,0.0,0.0,0.0
Ederson,0.7594339622641509,0.12735849056603774,Manchester City,212,1.6462264150943395,0.014150943396226415,0.47641509433962265,0.75,0.0330188679245283,26.42924528301887,4.009433962264151,0.0660377358490566,0.0047169811320754715,0.0330188679245283
Scott Carson,0.3082191780821918,0.4520547945205479,Manchester City,146,2.9794520547945207,0.0273972602739726,0.2054794520547945,1.5410958904109588,0.0684931506849315,18.71232876712329,5.698630136986301,0.0410958904109589,0.00684931506849315,0.0273972602739726
David de Gea,0.5405405405405406,0.21867321867321868,Manchester United,407,2.7837837837837838,0.009828009828009828,0.3538083538083538,1.0810810810810811,0.03931203931203931,22.42014742014742,5.624078624078624,0.014742014742014743,0.0,0.002457002457002457
Tom Heaton,0.29310344827586204,0.47413793103448276,Manchester United,116,3.5172413793103448,0.02586206896551724,0.2413793103448276,1.4396551724137931,0.02586206896551724,28.362068965517242,9.198275862068966,0.04310344827586207,0.0,0.017241379310344827
Jack Butland,0.28735632183908044,0.41379310344827586,Manchester United,87,3.5172413793103448,0.011494252873563218,0.2413793103448276,1.4942528735632183,0.011494252873563218,29.804597701149426,9.091954022988507,0.0,0.0,0.011494252873563218
Martin Dubravka,0.3671875,0.3984375,Newcastle United,128,3.0,0.0078125,0.2890625,1.3359375,0.0703125,27.0078125,7.453125,0.015625,0.0,0.0
Nick Pope,0.3508771929824561,0.3333333333333333,Newcastle United,171,3.152046783625731,0.017543859649122806,0.34502923976608185,1.128654970760234,0.03508771929824561,25.86549707602339,7.953216374269005,0.05263157894736842,0.005847953216374269,0.023391812865497075
Loris Karius,0.5862068965517241,0.13793103448275862,Newcastle United,29,1.7586206896551724,0.034482758620689655,0.4482758620689655,0.896551724137931,0.06896551724137931,27.20689655172414,4.275862068965517,0.034482758620689655,0.0,0.06896551724137931
Dean Henderson,0.43283582089552236,0.29850746268656714,Nottingham Forest,67,2.8656716417910446,0.04477611940298507,0.34328358208955223,1.1343283582089552,0.05970149253731343,26.17910447761194,6.08955223880597,0.1044776119402985,0.0,0.014925373134328358
Wayne Hennessey,0.25405405405405407,0.5243243243243243,Nottingham Forest,185,3.4108108108108106,0.016216216216216217,0.2,1.681081081081081,0.07027027027027027,26.9027027027027,8.994594594594595,0.021621621621621623,0.0,0.005405405405405406
